iata_code,ident,type,continent,iso_country,iso_region,municipality,gps_code,local_code,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,Tz.database.time.zone
CLE,KCLE,large_airport,NA,US,US-OH,Cleveland,KCLE,CLE,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012,-81.84980011,791,-5,A,America/New_York
CLJ,LRCL,medium_airport,EU,RO,RO-CJ,Cluj-Napoca,LRCL,,Cluj-Napoca International Airport,Cluj-napoca,Romania,46.78519821,23.68619919,1036,2,E,Europe/Bucharest
CLL,KCLL,medium_airport,NA,US,US-TX,College Station,KCLL,CLL,Easterwood Field,College Station,United States,30.58860016,-96.36380005,320,-6,A,America/Chicago
CLM,KCLM,medium_airport,NA,US,US-WA,Port Angeles,KCLM,CLM,William R Fairchild International Airport,Port Angeles,United States,48.12020111,-123.5,291,-8,A,America/Los_Angeles
CLN,SBCI,medium_airport,SA,BR,BR-MA,Carolina,SBCI,,Brig. Lysias Augusto Rodrigues Airport,Carolina,Brazil,-7.320439816,-47.45869827,565,-3,S,America/Fortaleza
CLO,SKCL,medium_airport,SA,CO,CO-VAC,Cali,SKCL,CLO,Alfonso Bonilla Aragon International Airport,Cali,Colombia,3.54322,-76.3816,3162,-5,U,America/Bogota
CLQ,MMIA,medium_airport,NA,MX,MX-COL,Colima,MMIA,COL,Licenciado Miguel de la Madrid Airport,Colima,Mexico,19.27700043,-103.5770035,2467,-6,S,America/Mexico_City
CLS,KCLS,small_airport,NA,US,US-WA,Chehalis,KCLS,CLS,Chehalis Centralia Airport,Chehalis,United States,46.67699814,-122.9830017,176,-8,A,America/Los_Angeles
CLT,KCLT,large_airport,NA,US,US-NC,Charlotte,KCLT,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,748,-5,A,America/New_York
CLU,KBAK,medium_airport,NA,US,US-IN,Columbus,KBAK,BAK,Columbus Municipal Airport,Columbus,United States,39.26190186,-85.89630127,656,\N,\N,\N
CLV,SBCN,small_airport,SA,BR,BR-GO,Caldas Novas,SBCN,,Nelson Ribeiro Guimar„es Airport,Caldas Novas,Brazil,-17.72529984,-48.60749817,2247,-3,S,America/Sao_Paulo
CLW,KCLW,small_airport,NA,US,US-FL,Clearwater,KCLW,CLW,Clearwater Air Park,Clearwater,United States,27.97669983,-82.75869751,71,-5,A,America/New_York
CLY,LFKC,medium_airport,EU,FR,FR-H,Calvi/Sainte-Catherine,LFKC,,Calvi-Sainte-Catherine Airport,Calvi,France,42.5244444,8.7930556,209,1,E,Europe/Paris
CMA,YCMU,medium_airport,OC,AU,AU-QLD,,YCMU,,Cunnamulla Airport,Cunnamulla,Australia,-28.03000069,145.621994,630,10,O,Australia/Brisbane
CMB,VCBI,large_airport,AS,LK,LK-1,Colombo,VCBI,,Bandaranaike International Colombo Airport,Colombo,Sri Lanka,7.180759907,79.88410187,30,5.5,U,Asia/Colombo
CMD,YCTM,medium_airport,OC,AU,AU-NSW,,YCTM,,Cootamundra Airport,,Australia,-34.62390137,148.0279999,1110,\N,\N,\N
CME,MMCE,medium_airport,NA,MX,MX-CAM,Ciudad del Carmen,MMCE,,Ciudad del Carmen International Airport,Ciudad Del Carmen,Mexico,18.65369987,-91.7990036,10,-6,S,America/Mexico_City
CMF,LFLB,medium_airport,EU,FR,FR-V,Chamb√©ry/Aix-les-Bains,LFLB,,ChambÈry-Savoie Airport,Chambery,France,45.63809967,5.88022995,779,1,E,Europe/Paris
CMG,SBCR,medium_airport,SA,BR,BR-MS,Corumb√°,SBCR,,Corumb· International Airport,Corumba,Brazil,-19.01194382,-57.67139053,461,-4,S,America/Campo_Grande
CMH,KCMH,large_airport,NA,US,US-OH,Columbus,KCMH,CMH,Port Columbus International Airport,Columbus,United States,39.9980011,-82.89189911,815,-5,A,America/New_York
CMI,KCMI,medium_airport,NA,US,US-IL,Champaign/Urbana,KCMI,CMI,University of Illinois Willard Airport,Champaign,United States,40.03919983,-88.27809906,755,-6,A,America/Chicago
CMJ,TW-CMJ,small_airport,AS,TW,TW-PEN,Chi Mei,RCCM,,Cimei Airport,Cimei,Taiwan,23.266667,119.666667,63,8,U,Asia/Taipei
CMK,FWCM,small_airport,AF,MW,MW-MG,Club Makokola,FWCM,,Club Makokola Airport,Club Makokola,Malawi,-14.30690002,35.13249969,1587,2,U,Africa/Blantyre
CMN,GMMN,large_airport,AF,MA,MA-CAS,Casablanca,GMMN,,Mohammed V International Airport,Casablanca,Morocco,33.36750031,-7.589970112,656,0,N,Africa/Casablanca
CMP,SNKE,small_airport,SA,BR,BR-PA,Santana Do Araguaia,SNKE,SNKE,Santana do Araguaia Airport,Santana do Araguaia,Brazil,-9.319970131,-50.32849884,597,-3,S,America/Belem
CMQ,YCMT,medium_airport,OC,AU,AU-QLD,,YCMT,,Clermont Airport,Clermont,Australia,-22.7730999,147.6210022,908,10,N,\N
CMR,LFGA,medium_airport,EU,FR,FR-A,Colmar/Houssen,LFGA,,Colmar-Houssen Airport,Colmar,France,48.10990143,7.35901022,628,1,E,Europe/Paris
CMU,AYCH,medium_airport,OC,PG,PG-CPK,Kundiawa,AYCH,,Chimbu Airport,Kundiawa,Papua New Guinea,-6.024290085,144.970993,4974,10,U,Pacific/Port_Moresby
CMW,MUCM,medium_airport,NA,CU,CU-09,Camaguey,MUCM,,Ignacio Agramonte International Airport,Camaguey,Cuba,21.42029953,-77.84750366,413,-5,U,America/Havana
CMX,KCMX,medium_airport,NA,US,US-MI,Hancock,KCMX,CMX,Houghton County Memorial Airport,Hancock,United States,47.16839981,-88.4890976,1095,-5,A,America/New_York
CNB,YCNM,medium_airport,OC,AU,AU-NSW,,YCNM,,Coonamble Airport,Coonamble,Australia,-30.98329926,148.3760071,604,10,O,Australia/Sydney
CNC,YCCT,small_airport,OC,AU,AU-QLD,,YCCT,,Coconut Island Airport,Coconut Island,Australia,-10.05000019,143.0700073,3,10,O,Australia/Brisbane
CND,LRCK,medium_airport,EU,RO,RO-CT,Constan≈£a,LRCK,,Mihail Kogalniceanu International Airport,Constanta,Romania,44.36220169,28.48830032,353,2,E,Europe/Bucharest
CNF,SBCF,large_airport,SA,BR,BR-MG,Belo Horizonte,SBCF,,Tancredo Neves International Airport,Belo Horizonte,Brazil,-19.62444305,-43.9719429,2715,-3,S,America/Sao_Paulo
CNG,LFBG,medium_airport,EU,FR,FR-T,Cognac/Ch√¢teaubernard,LFBG,,Cognac-Ch‚teaubernard (BA 709) Air Base,Cognac,France,45.65829849,-0.317499995,102,1,E,Europe/Paris
CNI,ZYCH,medium_airport,AS,CN,CN-21,Changhai,ZYCH,,Changhai Airport,Changhai,China,39.26666667,122.6669444,80,8,N,Asia/Shanghai
CNJ,YCCY,medium_airport,OC,AU,AU-QLD,Cloncurry,YCCY,,Cloncurry Airport,Cloncurry,Australia,-20.66860008,140.5039978,616,10,O,Australia/Brisbane
CNL,EKSN,medium_airport,EU,DK,DK-81,Sindal,EKSN,,Sindal Airport,Sindal,Denmark,57.50350189,10.22939968,92,1,N,Europe/Copenhagen
CNM,KCNM,medium_airport,NA,US,US-NM,Carlsbad,KCNM,CNM,Cavern City Air Terminal,Carlsbad,United States,32.33750153,-104.2630005,3295,-7,A,America/Denver
CNO,KCNO,small_airport,NA,US,US-CA,Chino,KCNO,CNO,Chino Airport,Chino,United States,33.97470093,-117.637001,650,-8,A,\N
CNP,BGCO,small_airport,NA,GL,GL-U-A,Neerlerit Inaat,BGCO,,Neerlerit Inaat Airport,Neerlerit Inaat,Greenland,70.74310303,-22.65049934,45,-1,E,America/Scoresbysund
CNQ,SARC,medium_airport,SA,AR,AR-W,Corrientes,SARC,CRR,Corrientes Airport,Corrientes,Argentina,-27.4455,-58.7619,202,-3,N,America/Cordoba
CNR,SCRA,medium_airport,SA,CL,CL-AT,Cha√±aral,SCRA,,ChaÒaral Airport,ChaÒaral,Chile,-26.33250046,-70.6072998,97,\N,\N,\N
CNS,YBCS,medium_airport,OC,AU,AU-QLD,Cairns,YBCS,,Cairns International Airport,Cairns,Australia,-16.88579941,145.7550049,10,10,N,Australia/Brisbane
CNU,KCNU,medium_airport,NA,US,US-KS,Chanute,KCNU,CNU,Chanute Martin Johnson Airport,Chanute,United States,37.66880035,-95.48509979,1002,\N,\N,\N
CNW,KCNW,small_airport,NA,US,US-TX,Waco,KCNW,CNW,TSTC Waco Airport,Waco,United States,31.63780022,-97.07409668,470,-6,A,America/Chicago
CNX,VTCC,large_airport,AS,TH,TH-50,Chiang Mai,VTCC,,Chiang Mai International Airport,Chiang Mai,Thailand,18.76679993,98.96260071,1036,7,U,Asia/Bangkok
CNY,KCNY,small_airport,NA,US,US-UT,Moab,KCNY,CNY,Canyonlands Field,Moab,United States,38.75500107,-109.7549973,4557,-7,A,America/Denver
COC,SAAC,medium_airport,SA,AR,AR-E,Concordia,SAAC,DIA,Comodoro Pierrestegui Airport,Concordia,Argentina,-31.2969,-57.9966,112,-3,N,America/Cordoba
COD,KCOD,medium_airport,NA,US,US-WY,Cody,KCOD,COD,Yellowstone Regional Airport,Cody,United States,44.52019882,-109.0240021,5102,-7,A,America/Denver
COE,KCOE,medium_airport,NA,US,US-ID,Coeur d'Alene,KCOE,COE,Coeur D'Alene - Pappy Boyington Field,Coeur d'Alene,United States,47.77429962,-116.8199997,2320,-8,A,America/Los_Angeles
COF,KCOF,medium_airport,NA,US,US-FL,Cocoa Beach,KCOF,COF,Patrick Air Force Base,Coco Beach,United States,28.23489952,-80.61009979,8,-5,A,America/New_York
COG,SKCD,small_airport,SA,CO,CO-CHO,Condoto,SKCD,COG,Mandinga Airport,Condoto,Colombia,5.08333,-76.7,213,-5,U,America/Bogota
COH,VECO,small_airport,AS,IN,IN-WB,,VECO,,Cooch Behar Airport,Cooch-behar,India,26.33049965,89.46720123,138,5.5,N,Asia/Calcutta
COI,KCOI,small_airport,NA,US,US-FL,Merritt Island,KCOI,COI,Merritt Island Airport,Cocoa,United States,28.3416111,-80.6854722,6,-5,A,America/New_York
COJ,YCBB,medium_airport,OC,AU,AU-NSW,,YCBB,,Coonabarabran Airport,Coonabarabran,Australia,-31.33250046,149.2669983,2117,10,O,Australia/Sydney
COK,VOCI,large_airport,AS,IN,IN-KL,Kochi,VOCI,,Cochin International Airport,Kochi,India,10.15200043,76.40190125,30,5.5,N,Asia/Calcutta
COL,EGEL,small_airport,EU,GB,GB-SCT,Coll Island,EGEL,,Coll Airport,Coll,United Kingdom,56.633333,-6.557222,50,0,U,Europe/London
CON,KCON,medium_airport,NA,US,US-NH,Concord,KCON,CON,Concord Municipal Airport,Concord NH,United States,43.20270157,-71.50229645,342,-5,A,America/New_York
COO,DBBB,medium_airport,AF,BJ,BJ-AQ,Cotonou,DBBB,,Cadjehoun Airport,Cotonou,Benin,6.357230186,2.384350061,19,1,N,Africa/Porto-Novo
COQ,ZMCD,medium_airport,AS,MN,MN-061,,ZMCD,,Choibalsan Airport,Choibalsan,Mongolia,48.13570023,114.6460037,2457,8,U,Asia/Ulaanbaatar
COR,SACO,medium_airport,SA,AR,AR-X,Cordoba,SACO,CBA,Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,-31.32360077,-64.20800018,1604,-3,N,America/Cordoba
COS,KCOS,large_airport,NA,US,US-CO,Colorado Springs,KCOS,COS,City of Colorado Springs Municipal Airport,Colorado Springs,United States,38.80580139,-104.7009964,6187,-7,A,America/Denver
COT,KCOT,small_airport,NA,US,US-TX,Cotulla,KCOT,COT,Cotulla-La Salle County Airport,Cotulla,United States,28.45669937,-99.22029877,474,-6,A,America/Chicago
COU,KCOU,medium_airport,NA,US,US-MO,Columbia,KCOU,COU,Columbia Regional Airport,Columbia,United States,38.81809998,-92.21959686,889,-6,A,America/Chicago
COX,MYAK,medium_airport,NA,BS,BS-KB,Andros,MYAK,,Congo Town Airport,Andros,Bahamas,24.15870094,-77.58979797,15,-5,U,America/Nassau
COZ,MDCZ,small_airport,NA,DO,DO-13,Costanza,MDCZ,,Constanza - ExpediciÛn 14 de Junio National Airport,Constanza,Dominican Republic,18.90749931,-70.72190094,3950,-4,U,America/Santo_Domingo
CPA,GLCP,small_airport,AF,LR,LR-MY,Harper,GLCP,,Cape Palmas Airport,Greenville,Liberia,4.379020214,-7.696949959,20,0,U,Africa/Monrovia
CPB,SKCA,small_airport,SA,CO,CO-CHO,Capurgan√°,SKCA,CPB,Capurgan· Airport,Capurgana,Colombia,8.63333,-77.35,49,-5,S,America/Bogota
CPC,SAZY,medium_airport,SA,AR,AR-Q,Chapelco/San Martin de los Andes,SAZY,CHP,Aviador C. Campos Airport,San Martin Des Andes,Argentina,-40.07540131,-71.13729858,2569,-3,N,America/Argentina/Salta
CPD,YCBP,medium_airport,OC,AU,AU-SA,,YCBP,,Coober Pedy Airport,Coober Pedy,Australia,-29.04000092,134.720993,740,9.5,O,Australia/Adelaide
CPE,MMCP,medium_airport,NA,MX,MX-CAM,Campeche,MMCP,,Ingeniero Alberto AcuÒa Ongay International Airport,Campeche,Mexico,19.81679916,-90.50029755,34,-6,S,America/Mexico_City
CPH,EKCH,large_airport,EU,DK,DK-84,Copenhagen,EKCH,,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.61790085,12.65600014,17,1,E,Europe/Copenhagen
CPO,SCAT,medium_airport,SA,CL,CL-AT,Copiapo,SCAT,,Chamonate Airport,Copiapo,Chile,-27.2968998,-70.4131012,984,-4,S,America/Santiago
CPQ,SDAM,small_airport,SA,BR,BR-SP,Campinas,SDAM,SDAM,Amarais Airport,Campinas,Brazil,-22.85919952,-47.10820007,2008,-3,S,America/Sao_Paulo
CPR,KCPR,large_airport,NA,US,US-WY,Casper,KCPR,CPR,Casper-Natrona County International Airport,Casper,United States,42.90800095,-106.4639969,5350,-7,A,America/Denver
CPS,KCPS,small_airport,NA,US,US-IL,Cahokia/St Louis,KCPS,CPS,St. Louis Downtown Airport,East St. Louis,United States,38.5707244,-90.1562211,413,-6,U,America/Chicago
CPT,FACT,large_airport,AF,ZA,ZA-WC,Cape Town,FACT,,Cape Town International Airport,Cape Town,South Africa,-33.96480179,18.60169983,151,2,U,Africa/Johannesburg
CPV,SBKG,medium_airport,SA,BR,BR-PB,Campina Grande,SBKG,,Presidente Jo„o Suassuna Airport,Campina Grande,Brazil,-7.269919872,-35.89640045,1646,-3,S,America/Fortaleza
CPX,TJCP,small_airport,NA,PR,PR-U-A,Culebra Island,TJCP,CPX,Benjamin Rivera Noriega Airport,Culebra Island,Puerto Rico,18.313289,-65.304324,49,-4,U,America/Puerto_Rico
CQD,OIFS,medium_airport,AS,IR,IR-08,Shahrekord,OIFS,,Shahrekord Airport,Shahre Kord,Iran,32.29719925,50.84220123,6723,3.5,E,Asia/Tehran
CQF,LFAC,medium_airport,EU,FR,FR-O,Calais/Dunkerque,LFAC,,Calais-Dunkerque Airport,Calais,France,50.96210098,1.954759955,12,1,E,Europe/Paris
CQM,LERL,closed,EU,ES,ES-CM,Ciudad Real,LERL,,Ciudad Real Central Airport,Ciudad Real,Spain,38.85638889,-3.97,0,1,U,Europe/Madrid
CRA,LRCV,medium_airport,EU,RO,RO-DJ,Craiova,LRCV,,Craiova Airport,Craiova,Romania,44.31809998,23.8885994,626,2,E,Europe/Bucharest
CRC,SKGO,medium_airport,SA,CO,CO-VAC,Cartago,SKGO,CRC,Santa Ana Airport,Cartago,Colombia,4.75818,-75.9557,2979,-5,U,America/Bogota
CRD,SAVC,medium_airport,SA,AR,AR-U,Comodoro Rivadavia,SAVC,CRV,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,-45.7853,-67.4655,189,-3,N,America/Catamarca
CRE,KCRE,medium_airport,NA,US,US-SC,North Myrtle Beach,KCRE,CRE,Grand Strand Airport,North Myrtle Beach,United States,33.81169891,-78.72389984,32,-5,A,America/New_York
CRG,KCRG,medium_airport,NA,US,US-FL,Jacksonville,KCRG,CRG,Jacksonville Executive at Craig Airport,Jacksonville,United States,30.3362999,-81.51439667,41,\N,\N,\N
CRI,MYCI,medium_airport,NA,BS,BS-AC,Colonel Hill,MYCI,,Colonel Hill Airport,Colonel Hill,Bahamas,22.74559975,-74.18240356,5,-5,U,America/Nassau
CRK,RPLC,large_airport,AS,PH,PH-PAM,Angeles City,RPLC,,Clark International Airport,Angeles City,Philippines,15.18599987,120.5599976,484,8,N,Asia/Manila
CRL,EBCI,large_airport,EU,BE,BE-WHT,Brussels,EBCI,,Brussels South Charleroi Airport,Charleroi,Belgium,50.45920181,4.453820229,614,1,E,Europe/Brussels
CRM,RPVF,medium_airport,AS,PH,PH-NSA,Catarman,RPVF,,Catarman National Airport,Catarman,Philippines,12.5024004,124.6360016,6,8,N,Asia/Manila
CRP,KCRP,large_airport,NA,US,US-TX,Corpus Christi,KCRP,CRP,Corpus Christi International Airport,Corpus Christi,United States,27.77039909,-97.50119781,44,-6,A,America/Chicago
CRQ,SBCV,medium_airport,SA,BR,BR-BA,Caravelas,SBCV,,Caravelas Airport,Caravelas,Brazil,-17.65229988,-39.25310135,36,-3,S,America/Fortaleza
CRU,TGPZ,small_airport,NA,GD,GD-PA,Carriacou Island,TGPZ,,Lauriston Airport,Carriacou Island,Grenada,12.4761,-61.4728,0,-4,U,America/Grenada
CRV,LIBC,medium_airport,EU,IT,IT-78,Crotone,LIBC,KR01,Crotone Airport,Crotone,Italy,38.9972,17.0802,522,1,E,Europe/Rome
CRW,KCRW,large_airport,NA,US,US-WV,Charleston,KCRW,CRW,Yeager Airport,Charleston,United States,38.37310028,-81.59320068,981,-5,A,America/New_York
CRZ,UTAV,medium_airport,AS,TM,TM-L,T√ºrkmenabat,UTAV,,Turkmenabat Airport,Chardzhou,Turkmenistan,39.08330154,63.61330032,630,5,U,Asia/Ashgabat
CSA,EGEY,small_airport,EU,GB,GB-SCT,Colonsay,EGEY,,Colonsay Airstrip,Colonsay,United Kingdom,56.05749893,-6.243060112,44,0,U,Europe/London
CSB,LRCS,medium_airport,EU,RO,RO-CS,Caransebe≈ü,LRCS,,Caransebes Airport,Caransebes,Romania,45.41999817,22.25329971,866,2,E,Europe/Bucharest
CSC,MRMJ,small_airport,NA,CR,CR-G,Ca√±as,MRMJ,,Codela Airport,Guapiles,Costa Rica,10.41399956,-85.09169769,328,-6,U,America/Costa_Rica
CSF,LFPC,medium_airport,EU,FR,FR-S,Creil,LFPC,,Creil Air Base,Creil,France,49.25350189,2.519140005,291,1,E,Europe/Paris
CSG,KCSG,medium_airport,NA,US,US-GA,Columbus,KCSG,CSG,Columbus Metropolitan Airport,Columbus,United States,32.5163002,-84.93890381,397,-5,A,America/New_York
CSH,ULAS,small_airport,EU,RU,RU-ARK,Solovetsky Islands,ULAS,,Solovki Airport,Solovetsky Islands,Russia,65.02999878,35.73333359,60,3,N,Europe/Moscow
CSK,GOGS,medium_airport,AF,SN,SN-ZG,Cap Skirring,GOGS,,Cap Skirring Airport,Cap Skiring,Senegal,12.41020012,-16.74609947,52,0,N,Africa/Dakar
CSO,EDBC,small_airport,EU,DE,DE-ST,Magdeburg,EDBC,,Cochstedt Airport,Cochstedt,Germany,51.85639954,11.42029953,594,1,E,Europe/Berlin
CSV,KCSV,medium_airport,NA,US,US-TN,Crossville,KCSV,CSV,Crossville Memorial Whitson Field,Crossville,United States,35.95130157,-85.08499908,1881,\N,\N,\N
CSX,ZGHA,large_airport,AS,CN,CN-43,Changsha,ZGHA,,Changsha Huanghua International Airport,Changcha,China,28.18919945,113.2200012,217,8,U,Asia/Shanghai
CSY,UWKS,medium_airport,EU,RU,RU-CU,Cheboksary,UWKS,,Cheboksary Airport,Cheboksary,Russia,56.09030151,47.34730148,558,3,N,Europe/Moscow
CTA,LICC,large_airport,EU,IT,IT-82,Catania,LICC,CT03,Catania-Fontanarossa Airport,Catania,Italy,37.466801,15.0664,39,1,E,Europe/Rome
CTB,KCTB,medium_airport,NA,US,US-MT,Cut Bank,KCTB,CTB,Cut Bank International Airport,Cutbank,United States,48.60839844,-112.3759995,3854,-7,A,America/Denver
CTC,SANC,medium_airport,SA,AR,AR-K,Catamarca,SANC,CAT,Catamarca Airport,Catamarca,Argentina,-28.59560013,-65.75170136,1522,-3,N,America/Catamarca
CTD,MPCE,medium_airport,NA,PA,PA-6,Chitr√©,MPCE,,Alonso Valderrama Airport,ChitrÈ,Panama,7.987840176,-80.40969849,33,-5,U,America/Panama
CTG,SKCG,medium_airport,SA,CO,CO-BOL,Cartagena,SKCG,CTG,Rafael NuÒez International Airport,Cartagena,Colombia,10.4424,-75.513,4,-5,U,America/Bogota
CTH,KMQS,small_airport,NA,US,US-PA,Coatesville,KMQS,MQS,Chester County G O Carlson Airport,Coatesville,United States,39.97900009,-75.8655014,660,-5,A,America/New_York
CTL,YBCV,medium_airport,OC,AU,AU-QLD,Charleville,YBCV,,Charleville Airport,Charlieville,Australia,-26.41329956,146.2619934,1003,10,O,Australia/Brisbane
CTM,MMCM,medium_airport,NA,MX,MX-ROO,Chetumal,MMCM,,Chetumal International Airport,Chetumal,Mexico,18.50469971,-88.32679749,39,-5,S,America/Cancun
CTN,YCKN,medium_airport,OC,AU,AU-QLD,,YCKN,,Cooktown Airport,Cooktown,Australia,-15.44470024,145.1840057,26,10,O,Australia/Brisbane
CTS,RJCC,large_airport,AS,JP,JP-01,Chitose / Tomakomai,RJCC,,New Chitose Airport,Sapporo,Japan,42.77519989,141.6920013,82,9,U,Asia/Tokyo
CTT,LFMQ,medium_airport,EU,FR,FR-U,Le Castellet,LFMQ,,Le Castellet Airport,Le Castellet,France,43.25249863,5.785190105,1391,1,E,Europe/Paris
CTU,ZUUU,large_airport,AS,CN,CN-51,Chengdu,ZUUU,,Chengdu Shuangliu International Airport,Chengdu,China,30.57850075,103.9469986,1625,8,U,Asia/Shanghai
CTY,KCTY,small_airport,NA,US,US-FL,Cross City,KCTY,CTY,Cross City Airport,Cross City,United States,29.63549995,-83.10479736,42,-5,A,America/New_York
CUA,MMDA,medium_airport,NA,MX,MX-BCS,Ciudad Constituci√≥n,MMDA,CCB,Ciudad ConstituciÛn Airport,Ciudad ConstituciÛn,Mexico,25.05380058,-111.6149979,213,-7,S,America/Mazatlan
CUB,KCUB,medium_airport,NA,US,US-SC,Columbia,KCUB,CUB,Jim Hamilton L.B. Owens Airport,Columbia,United States,33.97050095,-80.99520111,193,-4,A,\N
CUC,SKCC,medium_airport,SA,CO,CO-NSA,C√∫cuta,SKCC,CUC,Camilo Daza International Airport,Cucuta,Colombia,7.92757,-72.5115,1096,-5,U,America/Bogota
CUE,SECU,medium_airport,SA,EC,EC-A,Cuenca,SECU,,Mariscal Lamar Airport,Cuenca,Ecuador,-2.8894701,-78.98439789,8306,-5,U,America/Guayaquil
CUF,LIMZ,medium_airport,EU,IT,IT-21,Cuneo,LIMZ,CN03,Cuneo International Airport,Cuneo,Italy,44.547001,7.62322,1267,1,E,Europe/Rome
CUK,BZ-CUK,medium_airport,NA,BZ,BZ-BZ,Caye Caulker,,,Caye Caulker Airport,Caye Caulker,Belize,17.7347,-88.0325,1,-6,U,America/Belize
CUL,MMCL,medium_airport,NA,MX,MX-SIN,Culiac√°n,MMCL,,Bachigualato Federal International Airport,Culiacan,Mexico,24.76449966,-107.4749985,108,-7,S,America/Mazatlan
CUM,SVCU,medium_airport,SA,VE,VE-R,,SVCU,,Cuman· (Antonio JosÈ de Sucre) Airport,Cumana,Venezuela,10.45033264,-64.13047028,14,-4,U,America/Caracas
CUN,MMUN,large_airport,NA,MX,MX-ROO,Canc√∫n,MMUN,,Canc˙n International Airport,Cancun,Mexico,21.03650093,-86.87709808,22,-5,S,America/Cancun
CUP,SVCP,medium_airport,SA,VE,VE-R,Car√∫pano,SVCP,,General Francisco Berm˙dez Airport,Carupano,Venezuela,10.66001415,-63.2616806,33,-4,U,America/Caracas
CUQ,YCOE,medium_airport,OC,AU,AU-QLD,Coen,YCOE,,Coen Airport,Coen,Australia,-13.761133,143.113311,532,10,O,Australia/Brisbane
CUR,TNCC,medium_airport,NA,CW,CW-U-A,Willemstad,TNCC,,Hato International Airport,Willemstad,Netherlands Antilles,12.1889,-68.959801,29,-4,U,America/Curacao
CUU,MMCU,medium_airport,NA,MX,MX-CHH,Chihuahua,MMCU,,General Roberto Fierro Villalobos International Airport,Chihuahua,Mexico,28.70289993,-105.9649963,4462,-7,S,America/Mazatlan
CUZ,SPZO,large_airport,SA,PE,PE-CUS,Cusco,SPZO,,Alejandro Velasco Astete International Airport,Cuzco,Peru,-13.53569984,-71.938797,10860,-5,U,America/Lima
CVC,YCEE,medium_airport,OC,AU,AU-SA,,YCEE,,Cleve Airport,,Australia,-33.70970154,136.5050049,589,\N,\N,\N
CVE,SKCV,medium_airport,SA,CO,CO-SUC,Cove√±as,SKCV,CVE,CoveÒas Airport,CoveÒas,Colombia,9.40092,-75.6913,31,\N,\N,\N
CVF,LFLJ,small_airport,EU,FR,FR-V,Courcheval,LFLJ,,Courchevel Airport,Courcheval,France,45.39670181,6.634719849,6588,1,E,Europe/Paris
CVG,KCVG,large_airport,NA,US,US-KY,Cincinnati,KCVG,CVG,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,39.04880142,-84.6678009,896,-5,A,America/New_York
CVH,SAHE,small_airport,SA,AR,AR-Q,Lafontaine,SAHE,CVH, Hollister Municipal Airport,Hollister,United States,36.8933453,-121.4102706,230,-8,A,\N
CVI,AR-0007,small_airport,SA,AR,AR-Z,Caleta Olivia,,CAO,Caleta Olivia,Caleta Olivia,Argentina,-46.4333,-67.5333,124,-3,N,America/Argentina/Rio_Gallegos
CVJ,MMCB,medium_airport,NA,MX,MX-MOR,,MMCB,,General Mariano Matamoros Airport,Cuernavaca,Mexico,18.83480072,-99.26129913,4277,-6,S,America/Mexico_City
CVM,MMCV,medium_airport,NA,MX,MX-TAM,Ciudad Victoria,MMCV,,General Pedro Jose Mendez International Airport,Ciudad Victoria,Mexico,23.70330048,-98.95649719,761,-6,S,America/Mexico_City
CVN,KCVN,small_airport,NA,US,US-NM,Clovis,KCVN,CVN,Clovis Municipal Airport,Clovis,United States,34.42509842,-103.0790024,4216,-7,A,America/Denver
CVO,KCVO,medium_airport,NA,US,US-OR,Corvallis,KCVO,CVO,Corvallis Municipal Airport,Corvallis,United States,44.49720001,-123.2900009,250,-8,A,America/Los_Angeles
CVQ,YCAR,medium_airport,OC,AU,AU-WA,Carnarvon,YCAR,,Carnarvon Airport,Carnarvon,Australia,-24.880211,113.67174,13,8,O,Australia/Perth
CVS,KCVS,large_airport,NA,US,US-NM,Clovis,KCVS,CVS,Cannon Air Force Base,Clovis,United States,34.38280106,-103.3219986,4295,-7,A,America/Denver
CVT,EGBE,medium_airport,EU,GB,GB-ENG,Coventry,EGBE,,Coventry Airport,Coventry,United Kingdom,52.36970139,-1.479719996,267,0,E,Europe/London
CVU,LPCR,small_airport,EU,PT,PT-20,Corvo,LPCR,,Corvo Airport,Corvo,Portugal,39.67150116,-31.11359978,0,-1,E,Atlantic/Azores
CWA,KCWA,medium_airport,NA,US,US-WI,Mosinee,KCWA,CWA,Central Wisconsin Airport,Wassau,United States,44.77759933,-89.66680145,1277,-6,A,America/Chicago
CWB,SBCT,large_airport,SA,BR,BR-PR,Curitiba,SBCT,,Afonso Pena Airport,Curitiba,Brazil,-25.5284996,-49.17580032,2988,-3,S,America/Sao_Paulo
CWC,UKLN,medium_airport,EU,UA,UA-77,Chernivtsi,UKLN,,Chernivtsi International Airport,Chernovtsk,Ukraine,48.25930023,25.98080063,826,2,E,Europe/Kiev
CWI,KCWI,small_airport,NA,US,US-IA,Clinton,KCWI,CWI,Clinton Municipal Airport,Clinton,United States,41.83110046,-90.32910156,708,-6,A,America/Chicago
